StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SI1,SI1_23_TEXT,SI2,SI3,SI3_8_TEXT,SI4,SI4_10_TEXT,SI5_1,SI5_11,SI5_2,SI5_3,SI5_4,SI5_5,SI5_6,SI5_7,SI5_8,SI5_9,SI5_10,SI5_10_TEXT,SI6,SI7,SI7_5_TEXT,SI8,SI8_4_TEXT,SI9,SI9_5_TEXT,SI10,SI10_5_TEXT,SI11,SI12
2026-02-09 10:30:20,2026-02-09 10:33:56,IP Address,*******,100,215,True,2026-02-09 10:33:56,R_3gS2x0lGtpOAxc5,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Oncology,Other (Please Specify)",GI,"Lack of cooking skills and/or knowledge,Personal taste preferences",,2,,,,1,,,,,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,Video,,Printed Handouts,,"Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,,
2026-02-02 10:13:03,2026-02-02 10:38:18,IP Address,*******,7,1515,False,2026-02-09 10:38:22,R_6prJY49e1nM3cI3,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09 10:35:30,2026-02-09 10:39:43,IP Address,*******,100,252,True,2026-02-09 10:39:43,R_6q8APH8SAvw38g2,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Personal taste preferences",,2,,,,1,,,,,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,"Video,One-Pager/Brief",,Patient Portal Links,,"Nutritional Efficacy for Specific Medical Conditions,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,,
2026-02-09 10:41:38,2026-02-09 10:48:49,IP Address,*******,100,431,True,2026-02-09 10:48:49,R_6BbocT0tFhGDEVr,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Rheumatology,General Wellness/Prevention,Other (Please Specify)","EDO, FTT, PCM, Pediatrics, everything, etc","Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects,Other (Please Specify)","feeling overwhelmed, but TIME and lack of skill/cooking knowledge are biggest barriers",2,4,3,,7,6,5,1,8,9,10,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage",,Electronic Health Record,,Behavior-Change Strategies,,"Academy of Nutrition and Dietitians, other health systems, KP materials from SOCAL",
2026-02-09 10:44:12,2026-02-09 10:50:26,IP Address,*******,100,373,True,2026-02-09 10:50:27,R_77skFJVZEEP3XBn,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Limited access to fresh produce (i.e., food insecurity)",,,,,,,,,,,,,,"that it costs too much ","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief",,Email,,Behavior-Change Strategies,,"Academy of Nutrition and Dietetics, KP resources ",frequent check ins/accountability support
2026-02-09 11:43:03,2026-02-09 11:46:39,IP Address,*******,100,216,True,2026-02-09 11:46:40,R_1eOJr9VF32b2rz8,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Type 2 Diabetes/Prediabetes,Weight Management",,"Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,,,1,,4,5,3,6,2,,,,vegetables are expensive,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"One-Pager/Brief,Interactive Webpage",,Electronic Health Record,,"Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,"own institution, American Diabetes Association",1 small change to start; adding in vs taking away
2026-02-02 12:23:59,2026-02-02 12:24:12,IP Address,*******,7,12,False,2026-02-09 12:24:16,R_17vqJUhoP8ARWrU,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02 12:25:16,2026-02-02 12:25:21,IP Address,*******,7,4,False,2026-02-09 12:25:25,R_3fqmk7Vb1EXKdy5,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02 12:26:30,2026-02-02 12:26:34,IP Address,*******,7,4,False,2026-02-09 12:26:35,R_7TRH7zweNMlfkSl,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09 12:41:56,2026-02-09 12:44:24,IP Address,*******,100,148,True,2026-02-09 12:44:25,R_6EQkpzRzQ8eOq18,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,2,,4,,1,,,5,3,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.)",,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines",,"AND, AHA",
2026-02-02 12:52:43,2026-02-02 12:52:51,IP Address,*******,7,8,False,2026-02-09 12:52:53,R_74tdaqxlXikDZPX,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02 13:56:28,2026-02-02 13:57:42,IP Address,*******,27,73,False,2026-02-09 13:57:42,R_3X4ovH97ZZne0OF,*******,*******,*******,*******,*******,*******,anonymous,EN,Pharmacist,,No,Type 2 Diabetes/Prediabetes,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02 14:35:22,2026-02-02 14:36:20,IP Address,*******,47,57,False,2026-02-09 14:36:25,R_3dYfzrVGN9GEuW6,*******,*******,*******,*******,*******,*******,anonymous,EN,Healthcare Administrator,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02 16:09:13,2026-02-02 16:10:24,IP Address,*******,7,70,False,2026-02-09 16:10:29,R_7RmFzsniZyYXuxE,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09 16:16:44,2026-02-09 16:21:37,IP Address,*******,100,292,True,2026-02-09 16:21:37,R_3Pv3FIIPLxcPL6D,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Cultural relevance and/or appropriateness of recipes",,1,,4,2,3,,5,,,,,,they don't really like vegetables,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,One-Pager/Brief,,Printed Handouts,,Protein Quality and Amino Acid Profiles,,"ADA ",
2026-02-09 18:35:14,2026-02-09 18:40:08,IP Address,*******,100,294,True,2026-02-09 18:40:08,R_7vdFd1cFvP74SRI,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health",,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,2,,,3,,4,,1,5,,,,not having enough protein,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,Interactive Webpage",,Electronic Health Record,,"Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines",,Nutrition Care Manual and KP Library,"Should have information on recipes, and shopping tips"
2026-02-10 08:37:28,2026-02-10 08:43:07,IP Address,*******,100,339,True,2026-02-10 08:43:08,R_63qmR9xHy8prlgT,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention,Other (Please Specify)","Sports nutrition, eating disorders","Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity),Digestive side effects",,2,,4,,6,,5,1,7,3,,,Not enough protein in plants. unfamiliar with recipes/ too difficult to cook. Plant meals are not filling. culturally not foods generally eaten like beans/lentils in asian meals,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,"Video,One-Pager/Brief",,Electronic Health Record,,"Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,KP branded materials/ clinical library or local handout folders,interactive learning before d/c
2026-02-10 10:58:33,2026-02-10 11:01:11,IP Address,*******,100,157,True,2026-02-10 11:01:11,R_7EUjNsAT3zttYbL,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Limited access to fresh produce (i.e., food insecurity)",,,,,,,,,,,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,One-Pager/Brief,,Electronic Health Record,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines",,Elsevier via EMR,
2026-02-10 16:02:40,2026-02-10 16:09:05,IP Address,*******,100,384,True,2026-02-10 16:09:05,R_5SCwcefbK8ZOaO2,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Affordability of healthy foods,Personal taste preferences,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,,,3,,2,,,4,1,,,,"The elderly population, living alone, does not have the energy to shop and prepare meals.","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.)",,One-Pager/Brief,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles",,Nutrition Care ManualNo,
2026-01-30 16:08:03,2026-02-03 17:01:45,IP Address,*******,57,348822,False,2026-02-10 17:01:46,R_148EyTjhLXULTlM,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,Type 2 Diabetes/Prediabetes,,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Concerns about protein adequacy",,2,,3,1,,,,,,,,,,,,,,,,,,,
2026-02-08 17:12:54,2026-02-10 17:57:20,IP Address,*******,100,175466,True,2026-02-10 17:57:21,R_3V9ARH1vM4KntpC,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health,General Wellness/Prevention",,"Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Limited access to fresh produce (i.e., food insecurity)",,,,3,1,5,,2,,4,,,,"protein amount in plants versus animals, the need for meat for protein, iron, nutrients, etc","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,One-Pager/Brief,Interactive Webpage",,Electronic Health Record,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Review of Clinical Research and Dietary Guidelines,Sustainability Implications of Plant-Forward Eating",,"AHA, materials on epic EMR",a guided check-in/follow up afterwards
2026-02-04 06:29:44,2026-02-04 06:31:18,IP Address,*******,7,94,False,2026-02-11 06:31:24,R_3NfFGbMAfcbmgWY,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04 11:22:35,2026-02-04 11:23:04,IP Address,*******,7,29,False,2026-02-11 11:23:06,R_3oGBcOJGau0R6t6,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04 11:33:03,2026-02-04 11:33:58,IP Address,*******,27,54,False,2026-02-11 11:34:01,R_5X6uFsGV3zs4MEi,*******,*******,*******,*******,*******,*******,anonymous,EN,Healthcare Administrator,,No,Other (Please Specify),Availability in outpatient setting,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-04 12:14:37,2026-02-04 12:15:07,IP Address,*******,7,29,False,2026-02-11 12:15:08,R_5PMqhTzTcc9tmiR,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11 14:15:38,2026-02-11 14:20:47,IP Address,*******,100,309,True,2026-02-11 14:20:48,R_55zrBOGPXtnklNK,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,General Wellness/Prevention",,"Concerns about protein adequacy,Time needed for meal preparation",,,,,,,,,,,,,,"Dietary content of plant-based products available (ie: sodium, coconut oil)","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,One-Pager/Brief,,Printed Handouts,,Protein Quality and Amino Acid Profiles,,Internet nutrition-based organizations (ie: diabetes.org),Simple modifications with ideas of plant-based substitutions for animal-based foods.
2026-02-04 16:42:59,2026-02-04 16:46:09,IP Address,*******,53,190,False,2026-02-11 16:46:17,R_3o5u8ik2GLV21Po,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Oncology",,"Lack of cooking skills and/or knowledge,Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Digestive side effects",,2,,,5,1,3,,,,4,,,"Soy and its relation to breast cancer. It is too different from their normal for patients to take seriously ",,,,,,,,,,
2026-02-04 16:54:04,2026-02-04 16:55:11,IP Address,*******,47,66,False,2026-02-11 16:55:12,R_5C2AkzPzezbuAE7,*******,*******,*******,*******,*******,*******,anonymous,EN,Nurse,,No,Other (Please Specify),None,Personal taste preferences,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11 17:27:12,2026-02-11 17:36:16,IP Address,*******,100,544,True,2026-02-11 17:36:17,R_3vYaTPcy7En79wK,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention,Other (Please Specify)",tube feeding,"Lack of cooking skills and/or knowledge,Familial and/or household pushback,Time needed for meal preparation,Digestive side effects,Other (Please Specify)",Many patients have poor appetite and on modified diet consistency,1,,,,,2,,3,,4,5,poor appetite,Missing meat,"Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,Video,,Printed Handouts,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,"Clinical library ",Outpatient Health education follow up
2026-02-04 22:34:31,2026-02-04 22:42:04,IP Address,*******,27,453,False,2026-02-11 22:42:09,R_1HhP7GvapcWhqBu,*******,*******,*******,*******,*******,*******,anonymous,EN,Physician,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Chronic Kidney Disease,Digestive Health,General Wellness/Prevention",,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-12 08:23:28,2026-02-12 08:29:37,IP Address,*******,100,368,True,2026-02-12 08:29:37,R_1R2gJzZKbQfX84e,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback",,3,,4,,1,2,,,,,,,,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.)",,One-Pager/Brief,,Printed Handouts,,,,Nutrition Care Manual,"It truly is providing them with basic recipes as depending on the client age, they may not be interested as it is ""new"" to them.  Having recipes that are easy to prepare using familiar products or substitution lists for what they could incorporate into their typical recipes.     I used to puree a can of black beans in my brownies.  Kids never knew it and it helped add the protein, fiber and took away the egg and oil.  "
2026-02-05 12:42:36,2026-02-05 12:44:37,IP Address,*******,53,120,False,2026-02-12 12:44:39,R_5lCmhXK76b69uGR,*******,*******,*******,*******,*******,*******,anonymous,EN,Healthcare Administrator,,No,,,"Lack of cooking skills and/or knowledge,Lack of tools, space, and/or equipment,Affordability of healthy foods,Limited access to fresh produce (i.e., food insecurity)",,4,3,1,,,,,,2,,,,,,,,,,,,,,
2026-02-05 16:39:59,2026-02-05 18:54:56,IP Address,*******,87,8096,False,2026-02-12 18:55:00,R_3m7YsCphRX5erUg,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Rheumatology,Respiratory Health",,"Concerns about protein adequacy,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Digestive side effects,Other (Please Specify)","Needing to depend on others after discharge or while on treatment ",,,,1,2,3,,4,,5,6,"4, 2, 5, 1, 3, 6",Difficult to meet protein and vitamin B12 needs,"Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,One-Pager/Brief,,Printed Handouts,,Nutritional Efficacy for Specific Medical Conditions,,,
2026-02-05 20:55:18,2026-02-05 20:56:12,IP Address,*******,27,53,False,2026-02-12 20:56:19,R_1EnJCcffG5rg9fE,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Oncology",,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 04:23:11,2026-02-06 04:23:29,IP Address,*******,7,18,False,2026-02-13 04:23:31,R_36sUnFoPEZrzjZ7,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 07:00:56,2026-02-06 07:11:59,IP Address,*******,27,662,False,2026-02-13 07:12:00,R_31sgIShdtLHyFzO,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 07:37:46,2026-02-06 07:38:24,IP Address,*******,27,37,False,2026-02-13 07:38:51,R_7vOM1XimgOYBkg9,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 07:55:00,2026-02-06 07:56:22,IP Address,*******,7,82,False,2026-02-13 07:56:25,R_7m1CGaYFm9bBHgu,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 09:03:33,2026-02-06 09:40:21,IP Address,*******,7,2208,False,2026-02-13 09:40:22,R_30xCZenZXSs9Wog,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 10:10:28,2026-02-06 10:10:39,IP Address,*******,7,11,False,2026-02-13 10:10:40,R_3VJd4bvPyVmzKoV,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 10:24:24,2026-02-06 10:28:40,IP Address,*******,7,256,False,2026-02-13 10:28:41,R_7P5wU7b71bZI8tc,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 11:38:30,2026-02-06 11:39:53,IP Address,*******,47,83,False,2026-02-13 11:39:57,R_1jMQ5tjGWGkPlW4,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 07:02:58,2026-02-06 12:14:21,IP Address,*******,53,18683,False,2026-02-13 12:14:27,R_7e80uYAYpZKz5Zr,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,,,,,,,,,,,,,adequate protein,,,,,,,,,,
2026-02-06 13:14:54,2026-02-06 13:15:31,IP Address,*******,7,36,False,2026-02-13 13:15:33,R_7C3nTLA2fsLzp2q,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-02 15:52:33,2026-02-06 15:06:25,IP Address,*******,7,342832,False,2026-02-13 15:06:28,R_6OoGykZRAQQ3VIs,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 16:32:42,2026-02-06 16:33:37,IP Address,*******,27,55,False,2026-02-13 16:33:41,R_12QQilacgJdS0mS,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health,Respiratory Health,General Wellness/Prevention",,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-07 17:22:24,2026-02-07 17:22:48,IP Address,*******,7,23,False,2026-02-14 17:22:49,R_5nSNLCp99WPZR0Q,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-08 12:03:19,2026-02-08 12:05:50,IP Address,*******,47,150,False,2026-02-15 12:05:57,R_1LFJyBv7LuR0OFp,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Digestive Health",,"Affordability of healthy foods,Concerns about protein adequacy,Personal taste preferences,Cultural relevance and/or appropriateness of recipes,Limited access to fresh produce (i.e., food insecurity)",,,,1,4,3,,2,,5,,,,,,,,,,,,,,
2026-02-09 09:21:11,2026-02-09 09:56:51,IP Address,*******,7,2140,False,2026-02-16 09:56:53,R_3a96kk11tHK5VPX,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 10:56:59,2026-02-16 11:02:10,IP Address,*******,100,311,True,2026-02-16 11:02:11,R_3PdczJsvDhZCWTg,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,Respiratory Health,General Wellness/Prevention,Other (Please Specify)","Home EN, Home PN, dysphagia, CP, Wounds","Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Time needed for meal preparation,Limited access to fresh produce (i.e., food insecurity)",,6,,2,,1,5,,4,3,,,,"Not enough protein, vegetables don't taste good","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.),Other (Please Specify)",Ways to afford healthier food on very tight budget and related recipes,"Video,One-Pager/Brief",,Electronic Health Record,,"Nutritional Efficacy for Specific Medical Conditions,Protein Quality and Amino Acid Profiles,Behavior-Change Strategies,Review of Clinical Research and Dietary Guidelines",,,
2026-02-16 11:50:03,2026-02-16 11:53:32,IP Address,*******,100,208,True,2026-02-16 11:53:32,R_5BfCoPtU34fawG5,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Yes,"Cardiovascular Disease,Type 2 Diabetes/Prediabetes,Weight Management,Chronic Kidney Disease,Oncology,Digestive Health,General Wellness/Prevention",,"Lack of cooking skills and/or knowledge,Affordability of healthy foods,Personal taste preferences,Familial and/or household pushback,Cultural relevance and/or appropriateness of recipes",,1,,3,,5,4,2,,,,,,"that it will be bland and takes extra time that they do not have to plan their meals
","Planning Tools (e.g., example meal plans, grocery lists, substitution guides, etc.),Support with Meal Preparation (e.g., recipes, cooking demonstrations, etc.),Social Support Tools (e.g., scripts for navigating differing family preferences, shared meals, household pushback, etc.),Monitoring and Evaluation Tools (e.g., diet trackers, food diaries, etc.),Educational Tools (e.g., interactive nutrition modules, informational one-pagers, etc.)",,"Video,Interactive Webpage",,QR Code,,Behavior-Change Strategies,,Nutrition Care Manual,"they really need strategies for affordability, time management/planning and recipes that are culturally relevant for acceptability"
